Contrast,H,Label,Broadmann Area,"Bi-sided 
 Voxels",Total Voxels,Peak coordinate X,Peak coordinate Y,Peak coordinate Z,Bi-sided Threshold Voxels,Two-sided Threshold Voxels,Peak t cluster
MNoFraming>GFraming (Ado),L,"41.0 % overlap with Left Middle Occipital Gyrus, code 51
  
  29.4 % overlap with Left Calcarine Gyrus, code 43",Left-SecVisual (18),1127*,1127*,-6,-100,-10,151,151,4.487
,L,"45.3 % overlap with Left Superior Parietal Lobule, code 59
  
  33.3 % overlap with Left Inferior Parietal Lobule, code 61
  
  16.6 % overlap with Left Middle Occipital Gyrus, code 51",Left-VisMotor(7),388*,388*,-26,-68,44,,,3.763
,R,"46.3 % overlap with Right Calcarine Gyrus, code 44
  
  17.2 % overlap with Right Middle Occipital Gyrus, code 52
  
  12.0 % overlap with Right Cuneus, code 46",Right-SecVisual(18),330*,330*,10,-102,4,,,3.695
,R,"87.6 % overlap with Right SupraMarginal Gyrus, code 64",N / A,227*,227*,70,-30,32,,,-4.109
GFraming > MNoFraming (Ado),L,"33.4 % overlap with Left_Middle_Occipital_Gyrus, code 51
  23.2 % overlap with Left_Calcarine_Gyrus, code 43
  14.1 % overlap with Left_Inferior_Occipital_Gyrus, code 53
  10.6 % overlap with Left_Lingual_Gyrus, code 47
 33.6 % overlap with Right_Calcarine_Gyrus, code 44
  22.7 % overlap with Right_Middle_Occipital_Gyrus, code 52",Left-SecVisual (18),1628*,1628,-22,-104,6,155,155,-4.643
,R,"33.6 % overlap with Right_Calcarine_Gyrus, code 44
  22.7 % overlap with Right_Middle_Occipital_Gyrus, code 52",N / A,742*,742,10,-102,0,,,-3.593
,L,"45.5 % overlap with Left_Superior_Parietal_Lobule, code 59
  31.6 % overlap with Left_Inferior_Parietal_Lobule, code 61
  17.8 % overlap with Left_Middle_Occipital_Gyrus, code 51",Left-AngGyrus (39),413*,413,-24,-66,40,,,-4.678
MNoFraming>GFraming (Adu),L,"13.6 % overlap with Left Middle Occipital Gyrus, code 51",Left-SecVisual(18),4774*,4774*,-20,-102,14,142,142,4.471
,R,"49.5 % overlap with Right Precentral Gyrus, code 2
  
  33.2 % overlap with Right Postcentral Gyrus, code 58",N / A,1345*,1345*,0,-22,82,,,-3.359
,R,"48.8 % overlap with Right Superior Temporal Gyrus, code 82
  
  38.6 % overlap with Right Rolandic Operculum, code 18",N / A,369*,369*,70,-6,10,,,-3.976
,L,"50.3 % overlap with Left Precuneus, code 67
  
  39.2 % overlap with Left Middle Cingulate Cortex, code 33",N / A,339*,339*,0,-42,56,,,-3.507
GFraming > MNoFraming (Adu),L,"13.6 % overlap with Left_Middle_Occipital_Gyrus, code 51",Left-SecVisual (18),4774*,4774,-20,-102,14,143,143,-4.471
,R,"49.5 % overlap with Right_Precentral_Gyrus, code 2
  33.2 % overlap with Right_Postcentral_Gyrus, code 58",N / A,1345*,1345,0,-22,82,,,3.359
,R,"48.8 % overlap with Right_Superior_Temporal_Gyrus, code 82
  38.6 % overlap with Right_Rolandic_Operculum, code 18",N / A,369*,369,70,-6,10,,,3.976
,L,"50.3 % overlap with Left_Precuneus, code 67
  39.2 % overlap with Left_Middle_Cingulate_Cortex, code 33",N / A,339*,339,0,-42,56,,,3.507
