Contrast	Peak coordinate X	Peak coordinate Y	Peak coordinate Z
MNoFraming>GFraming (Ado)	-6.0	-100.0	-10.0
MNoFraming>GFraming (Ado)	-26.0	-68.0	44.0
MNoFraming>GFraming (Ado)	10.0	-102.0	4.0
MNoFraming>GFraming (Ado)	70.0	-30.0	32.0
GFraming > MNoFraming (Ado)	-22.0	-104.0	6.0
GFraming > MNoFraming (Ado)	10.0	-102.0	0.0
GFraming > MNoFraming (Ado)	-24.0	-66.0	40.0
MNoFraming>GFraming (Adu)	-20.0	-102.0	14.0
MNoFraming>GFraming (Adu)	0.0	-22.0	82.0
MNoFraming>GFraming (Adu)	70.0	-6.0	10.0
MNoFraming>GFraming (Adu)	0.0	-42.0	56.0
GFraming > MNoFraming (Adu)	-20.0	-102.0	14.0
GFraming > MNoFraming (Adu)	0.0	-22.0	82.0
GFraming > MNoFraming (Adu)	70.0	-6.0	10.0
GFraming > MNoFraming (Adu)	0.0	-42.0	56.0
Mixed_Framing > Verbatim_NoFraming (Ado)	-18.0	-104.0	10.0
Mixed_Framing > Verbatim_NoFraming (Ado)	10.0	-102.0	0.0
Mixed_Framing > Verbatim_NoFraming (Ado)			
Mixed_Framing > Verbatim_NoFraming (Adu)	12.0	-100.0	20.0
Mixed_Framing > Verbatim_NoFraming (Adu)	-8.0	-104.0	-6.0
Gist_Framing > Verbatim_NoFraming (Ado)	10.0	-94.0	28.0
Gist_Framing > Verbatim_NoFraming (Ado)			
SmalFraming>LargeFraming (Ado)	-40.0	-64.0	62.0
SmalFraming>LargeFraming (Ado)	-12.0	-94.0	34.0
SmalFraming>LargeFraming (Ado)	-46.0	2.0	62.0
SmalFraming>LargeFraming (Ado)			
SmallFraming>LargeFraming (Adu)	36.0	-62.0	62.0
SmallFraming>LargeFraming (Adu)	2.0	-84.0	-18.0
SmallFraming>LargeFraming (Adu)	-32.0	-72.0	58.0
SmallFraming>LargeFraming (Adu)	2.0	20.0	50.0
SmallFraming>LargeFraming (Adu)	44.0	-74.0	-24.0
SmallFraming>LargeFraming (Adu)	-40.0	-74.0	-22.0
SmallFraming>LargeFraming (Adu)	40.0	8.0	66.0
SmallFraming>LargeFraming (Adu)	36.0	-40.0	62.0
LargeFraming > LargeNoFraming (Adu)	48.0	-32.0	-68.0
LargeNoFraming > LargeFraming (Adu)	48.0	-32.0	68.0
MediumLargeFraming>MediumLargeNoFraming (Adu)	-14.0	-106.0	-2.0
MediumLargeNoFraming > MediumLargeFraming (Adu)	-14.0	-106.0	-2.0
LossRisk>LossSure (Ado)	14.0	-102.0	-4.0
LossRisk>LossSure (Ado)	-14.0	-104.0	6.0
LossRisk>LossSure (Adu)	18.0	-102.0	16.0
LossRisk>LossSure (Adu)	-22.0	-102.0	16.0
GainSure > GainRisky (Ado)	12.0	-104.0	4.0
GainSure > GainRisky (Ado)	-12.0	-104.0	18.0
GainRisk > GainSure (Ado)	10.0	-102.0	2.0
GainSure > GainRisk (Adu)	12.0	-100.0	18.0
GainRisk > GainSure (Adu)	12.0	-100.0	18.0
LargeLossRisk>LargeLossSure (Ado)	-14.0	-104.0	14.0
LargeLossSure > LargeLossRisk (Ado)	-14.0	-104.0	14.0
LargeGainSure>LargeGainRisk(Adu)	48.0	-60.0	56.0
LargeGainSure>LargeGainRisk(Adu)	56.0	30.0	36.0
LargeGainSure>LargeGainRisk(Adu)	-16.0	-60.0	18.0
LargeGainSure>LargeGainRisk(Adu)	0.0	16.0	54.0
LargeMediumLossSure>LargeMediumLossRisk (Ado)	-46.0	-42.0	68.0
MediumLargeLossRisk>MediumLargeLossSure (ado)	-46.0	-42.0	68.0
LargeSmallGainRIsk>LargeSmallGainSure (adu)	2.0	32.0	30.0
SmallGainSure>SmallGainRisk (Adu)	16.0	-100.0	16.0
Large>Small (Ado)	0.0	-52.0	68.0
Large>Small (Ado)	-32.0	-70.0	64.0
Large>Small (Ado)	32.0	-72.0	60.0
Large>Small (Ado)	-42.0	2.0	66.0
Large>Small (Ado)	0.0	34.0	36.0
Large>Small (Ado)	70.0	-24.0	34.0
Large>Small (Ado)	-64.0	2.0	-6.0
Large>Small (Ado)	2.0	-84.0	-18.0
Large>Small (Ado)	-68.0	-28.0	18.0
Large>Small (Ado)	42.0	-16.0	0.0
Large>Small (Ado)	2.0	-16.0	48.0
Large>Small (Ado)	32.0	-44.0	-10.0
Large>Small (Ado)	66.0	6.0	4.0
Large>Small (Adu)	44.0	-30.0	72.0
Large>Small (Adu)	-34.0	6.0	70.0
Large>Small (Adu)	66.0	-58.0	18.0
Large>Small (Adu)	0.0	-84.0	-18.0
Large>Small (Adu)	32.0	-74.0	58.0
Large>Small (Adu)	-34.0	-70.0	62.0
Large>Small (Adu)	64.0	8.0	0.0
Large>Small (Adu)	38.0	6.0	68.0
Large>Small (Adu)	-70.0	-32.0	20.0
Large>Small (Adu)	0.0	22.0	48.0
Large>Small (Adu)	16.0	-88.0	44.0
Large>Small (Adu)	-66.0	-4.0	4.0
Large>Small (Adu)	-46.0	54.0	4.0
Large>Small (Adu)	-48.0	-78.0	-34.0
Large>Small (Adu)	-16.0	-92.0	34.0
Large>Small (Adu)	26.0	4.0	-18.0
Large>Small (Adu)	-56.0	-76.0	6.0
Large>Small (Adu)	-28.0	-46.0	-8.0
Large>Small (Adu)	-42.0	-90.0	-4.0
Large>Small (Adu)	-16.0	-62.0	-36.0
Large>Small (Adu)	0.0	16.0	8.0
Small > Large (Ado)	0.0	-52.0	68.0
Small > Large (Ado)	-32.0	-70.0	64.0
Small > Large (Ado)	46.0	-56.0	62.0
Small > Large (Ado)	-66.0	-4.0	4.0
Small > Large (Ado)	0.0	34.0	36.0
Small > Large (Ado)	-48.0	2.0	60.0
Small > Large (Ado)	70.0	-22.0	34.0
Small > Large (Ado)	2.0	-86.0	-20.0
Small > Large (Ado)	-68.0	-30.0	44.0
Small > Large (Ado)	48.0	22.0	52.0
Small > Large (Ado)	66.0	6.0	4.0
Small > Large (Ado)	40.0	2.0	-14.0
Small > Large (Ado)	-30.0	-46.0	-8.0
Small > Large (Ado)	-2.0	2.0	46.0
Small > Large (Adu)	44.0	-30.0	72.0
Small > Large (Adu)	-34.0	6.0	70.0
Small > Large (Adu)	66.0	-58.0	18.0
Small > Large (Adu)	0.0	-84.0	-18.0
Small > Large (Adu)	32.0	-74.0	58.0
Small > Large (Adu)	-34.0	-70.0	62.0
Small > Large (Adu)	64.0	8.0	0.0
Small > Large (Adu)	38.0	6.0	68.0
Small > Large (Adu)	-70.0	-32.0	20.0
Small > Large (Adu)	0.0	22.0	48.0
Small > Large (Adu)	16.0	-88.0	44.0
Small > Large (Adu)	-66.0	-4.0	4.0
Small > Large (Adu)	-46.0	54.0	4.0
Small > Large (Adu)	-48.0	-78.0	-34.0
Small > Large (Adu)	-16.0	-92.0	34.0
Small > Large (Adu)	26.0	4.0	-18.0
Small > Large (Adu)	-56.0	-76.0	6.0
Small > Large (Adu)	-28.0	-46.0	-8.0
Small > Large (Adu)	-42.0	-90.0	22.0
Small > Large (Adu)	-16.0	-62.0	16.0
Small > Large (Adu)	0.0	16.0	-8.0
LargeGain > SmallGain (Ado)	4.0	-62.0	58.0
LargeGain > SmallGain (Ado)	-68.0	-32.0	44.0
LargeGain > SmallGain (Ado)	-12.0	-56.0	74.0
LargeGain > SmallGain (Ado)	68.0	-32.0	46.0
LargeGain > SmallGain (Ado)	-16.0	0.0	78.0
LargeGain > SmallGain (Adu)	-38.0	-72.0	56.0
LargeGain > SmallGain (Adu)	46.0	-62.0	52.0
SmallGain > LargeGain (Ado)	4.0	-42.0	54.0
SmallGain > LargeGain (Ado)	-68.0	-32.0	44.0
SmallGain > LargeGain (Ado)	68.0	-34.0	44.0
SmallGain > LargeGain (Ado)	-52.0	16.0	46.0
SmallGain > LargeGain (Adu)	-38.0	-72.0	56.0
SmallGain > LargeGain (Adu)	46.0	-62.0	52.0
LargeLoss > SmallLoss (Ado)	-32.0	-70.0	64.0
LargeLoss > SmallLoss (Ado)	10.0	-94.0	30.0
LargeLoss > SmallLoss (Ado)	-12.0	-94.0	34.0
LargeLoss > SmallLoss (Ado)	-38.0	-72.0	-20.0
LargeLoss > SmallLoss (Ado)	52.0	-50.0	60.0
LargeLoss > SmallLoss (Ado)	-48.0	2.0	60.0
LargeLoss > SmallLoss (Ado)	0.0	-86.0	-20.0
LargeLoss > SmallLoss (Ado)	30.0	-74.0	58.0
LargeLoss > SmallLoss (Ado)	38.0	-66.0	-22.0
LargeLoss > Small Loss (Adu)	62.0	12.0	-2.0
LargeLoss > Small Loss (Adu)	0.0	-84.0	-18.0
LargeLoss > Small Loss (Adu)	-70.0	-32.0	20.0
LargeLoss > Small Loss (Adu)	-44.0	0.0	64.0
LargeLoss > Small Loss (Adu)	0.0	-54.0	68.0
LargeLoss > Small Loss (Adu)	0.0	14.0	-8.0
LargeLoss > Small Loss (Adu)	-34.0	-68.0	60.0
LargeLoss > Small Loss (Adu)	32.0	-72.0	60.0
LargeLoss > Small Loss (Adu)	-14.0	-60.0	14.0
LargeLoss > Small Loss (Adu)	0.0	20.0	50.0
LargeLoss > Small Loss (Adu)	-50.0	-80.0	30.0
LargeLoss > Small Loss (Adu)	52.0	36.0	34.0
LargeLoss > Small Loss (Adu)	-6.0	48.0	-6.0
LargeLoss > Small Loss (Adu)	-28.0	-48.0	-8.0
LargeLoss > Small Loss (Adu)	62.0	-62.0	18.0
LargeLoss > Small Loss (Adu)	-8.0	-100.0	-4.0
LargeLoss > Small Loss (Adu)	44.0	26.0	-22.0
LargeLoss > Small Loss (Adu)	24.0	-40.0	-12.0
LargeLoss > Small Loss (Adu)	-40.0	-18.0	-4.0
LargeLoss > Small Loss (Adu)	0.0	-52.0	-16.0
LargeLoss > Small Loss (Adu)	14.0	-90.0	42.0
LargeLoss > Small Loss (Adu)	-46.0	54.0	4.0
LargeLoss > Small Loss (Adu)	0.0	50.0	-16.0
SmallLoss>LargeLoss (Ado)	-32.0	-70.0	64.0
SmallLoss>LargeLoss (Ado)	10.0	-94.0	30.0
SmallLoss>LargeLoss (Ado)	-12.0	-94.0	34.0
SmallLoss>LargeLoss (Ado)	-38.0	-72.0	-20.0
SmallLoss>LargeLoss (Ado)	52.0	-50.0	60.0
SmallLoss>LargeLoss (Ado)	-48.0	2.0	60.0
SmallLoss>LargeLoss (Ado)	0.0	-86.0	-20.0
SmallLoss>LargeLoss (Ado)	30.0	-74.0	58.0
SmallLoss>LargeLoss (Ado)	38.0	-66.0	-22.0
SmallLoss>LargeLoss (Adu)	62.0	12.0	-2.0
SmallLoss>LargeLoss (Adu)	0.0	-84.0	-18.0
SmallLoss>LargeLoss (Adu)	-70.0	-32.0	20.0
SmallLoss>LargeLoss (Adu)	-44.0	0.0	64.0
SmallLoss>LargeLoss (Adu)	0.0	-54.0	68.0
SmallLoss>LargeLoss (Adu)	0.0	14.0	-8.0
SmallLoss>LargeLoss (Adu)	-34.0	-68.0	60.0
SmallLoss>LargeLoss (Adu)	32.0	-72.0	60.0
SmallLoss>LargeLoss (Adu)	-14.0	-60.0	14.0
SmallLoss>LargeLoss (Adu)	0.0	20.0	50.0
SmallLoss>LargeLoss (Adu)	-50.0	-80.0	30.0
SmallLoss>LargeLoss (Adu)	52.0	36.0	34.0
SmallLoss>LargeLoss (Adu)	-6.0	48.0	-6.0
SmallLoss>LargeLoss (Adu)	-28.0	-48.0	-8.0
SmallLoss>LargeLoss (Adu)	62.0	-62.0	18.0
SmallLoss>LargeLoss (Adu)	8.0	-100.0	-4.0
SmallLoss>LargeLoss (Adu)	44.0	26.0	-22.0
SmallLoss>LargeLoss (Adu)	24.0	-40.0	-12.0
SmallLoss>LargeLoss (Adu)	-40.0	-18.0	-4.0
SmallLoss>LargeLoss (Adu)	0.0	-52.0	-16.0
SmallLoss>LargeLoss (Adu)	14.0	-90.0	42.0
SmallLoss>LargeLoss (Adu)	0.0	50.0	-16.0
SmallLoss>LargeLoss (Adu)	-46.0	54.0	4.0
LargeGain > LargeLoss (Ado)	-6.0	-102.0	-10.0
LargeGain > LargeLoss (Ado)	0.0	-72.0	54.0
LargeGain > LargeLoss (Ado)	12.0	-96.0	-8.0
LargeGain > LargeLoss (Ado)	28.0	-7.0	58.0
LargeGain > LargeLoss (Ado)	-58.0	10.0	40.0
LargeGain > LargeLoss (Ado)	38.0	2.0	68.0
LargeGain > LargeLoss (Ado)	6.0	-82.0	-18.0
LargeGain > LargeLoss (Ado)	0.0	14.0	52.0
LargeGain > LargeLoss (Ado)	-28.0	2.0	74.0
LargeGain > LargeLoss (Ado)	-50.0	18.0	-2.0
LargeGain > LargeLoss (Ado)			
LargeGain > LargeLoss (Adu)	-4.0	46.0	-20.0
LargeGain > LargeLoss (Adu)	-16.0	-70.0	66.0
LargeGain > LargeLoss (Adu)	-26.0	-78.0	-18.0
LargeGain > LargeLoss (Adu)	32.0	-70.0	62.0
LargeGain > LargeLoss (Adu)	-4.0	-52.0	8.0
LargeGain > LargeLoss (Adu)	-56.0	10.0	44.0
LargeGain > LargeLoss (Adu)	26.0	-86.0	-20.0
LargeGain > LargeLoss (Adu)	-28.0	38.0	52.0
LargeGain > LargeLoss (Adu)	-38.0	-84.0	42.0
LargeGain > LargeLoss (Adu)	68.0	-20.0	16.0
LargeGain > LargeLoss (Adu)	-32.0	-10.0	76.0
LargeGain > LargeLoss (Adu)	-58.0	-30.0	16.0
LargeGain > LargeLoss (Adu)	0.0	16.0	52.0
LargeGain > LargeLoss (Adu)	40.0	4.0	34.0
Gist > Verbatim (Adu)	0.0	-94.0	22.0
Gist > Verbatim (Adu)	10.0	-82.0	6.0
Gist > Verbatim (Adu)	-26.0	-102.0	6.0
Gist > Verbatim (Adu)			
