Contrast	Peak coordinate X	Peak coordinate Y	Peak coordinate Z
MNoFraming>GFraming (Ado)	-6	-100	-10
	-26	-68	44
	10	-102	4
	70	-30	32
GFraming > MNoFraming (Ado)	-22	-104	6
	10	-102	0
	-24	-66	40
MNoFraming>GFraming (Adu)	-20	-102	14
	0	-22	82
	70	-6	10
	0	-42	56
GFraming > MNoFraming (Adu)	-20	-102	14
	0	-22	82
	70	-6	10
	0	-42	56
Mixed_Framing > Verbatim_NoFraming (Ado)	-18	-104	10
	10	-102	0
			
Mixed_Framing > Verbatim_NoFraming (Adu)	12	-100	20
	-8	-104	-6
Gist_Framing > Verbatim_NoFraming (Ado)	10	-94	28
			
SmalFraming>LargeFraming (Ado)	-40	-64	62
	-12	-94	34
	-46	2	62
			
SmallFraming>LargeFraming (Adu)	36	-62	62
	2	-84	-18
	-32	-72	58
	2	20	50
	44	-74	-24
	-40	-74	-22
	40	8	66
	36	-40	62
LargeFraming > LargeNoFraming (Adu)	48	-32	-68
LargeNoFraming > LargeFraming (Adu)	48	-32	68
MediumLargeFraming>MediumLargeNoFraming (Adu)	-14	-106	-2
MediumLargeNoFraming > MediumLargeFraming (Adu)	-14	-106	-2
LossRisk>LossSure (Ado)	14	-102	-4
	-14	-104	6
LossRisk>LossSure (Adu)	18	-102	16
	-22	-102	16
GainSure > GainRisky (Ado)	12	-104	4
	-12	-104	18
GainRisk > GainSure (Ado)	10	-102	2
GainSure > GainRisk (Adu)	12	-100	18
GainRisk > GainSure (Adu)	12	-100	18
LargeLossRisk>LargeLossSure (Ado)	-14	-104	14
LargeLossSure > LargeLossRisk (Ado)	-14	-104	14
LargeGainSure>LargeGainRisk(Adu)	48	-60	56
	56	30	36
	-16	-60	18
	0	16	54
LargeMediumLossSure>LargeMediumLossRisk (Ado)	-46	-42	68
MediumLargeLossRisk>MediumLargeLossSure (ado)	-46	-42	68
LargeSmallGainRIsk>LargeSmallGainSure (adu)	2	32	30
SmallGainSure>SmallGainRisk (Adu)	16	-100	16
Large>Small (Ado)	0	-52	68
	-32	-70	64
	32	-72	60
	-42	2	66
	0	34	36
	70	-24	34
	-64	2	-6
	2	-84	-18
	-68	-28	18
	42	-16	0
	2	-16	48
	32	-44	-10
	66	6	4
Large>Small (Adu)	44	-30	72
	-34	6	70
	66	-58	18
	0	-84	-18
	32	-74	58
	-34	-70	62
	64	8	0
	38	6	68
	-70	-32	20
	0	22	48
	16	-88	44
	-66	-4	4
	-46	54	4
	-48	-78	-34
